Country,MAPE,MAE,RMSE
Monaco,11.751547426571173,15.970191794490974,20.912648541623554
Venezuela,12.554171890699822,1380.0875765410128,1552.7679779820428
South Sudan,12.628985150614058,442.0692426852641,460.0888039936379
Niger,12.903649646783611,1190.4057848104105,1240.9480991026016
Brunei,13.098501831604937,17.23997388364325,21.860470277087007
Kenya,13.128302606214175,1776.109938562784,1978.164061450707
Zambia,13.417418882278438,605.0977983802024,663.2655970537654
Cambodia,14.116526479714006,2136.361271876293,2169.496257252686
Tanzania,14.21848771701402,2142.8774977815824,2217.0631955516687
Algeria,14.38036055019071,2941.9849040972804,2952.6140046865676
United Arab Emirates,14.39943912219087,119.87452207489274,127.93363371980188
Djibouti,14.638210043850039,91.97073034811719,95.18107384824717
Costa Rica,14.698918167886925,207.44137126293307,230.5668119893949
Papua New Guinea,14.773803286444824,678.654455293218,704.8910508293516
Mozambique,14.871277938681684,3437.2516778593767,3735.405915504115
Thailand,14.891208469663141,8649.914290510578,8749.633627898866
Angola,14.89148459119585,1633.4188395953145,1680.4460225500904
Trinidad and Tobago,14.93328599613084,135.89030221895288,139.96578941477577
Madagascar,14.96343606884293,2744.552416594883,2783.0542004613967
Oman,15.00072417733577,167.32450505955478,206.51031054917698
Nepal,15.11797839539012,1852.4061261708846,1896.5058163182177
Burundi,15.223240511590575,671.2605414435686,680.417660578957
Morocco,15.236345909598704,4026.179289872866,4072.131661248574
Zimbabwe,15.340349532134894,1381.6602930110337,1449.611508666055
India,15.40777872726207,105486.78423331257,107913.43197883542
Mauritania,15.448790021332654,307.47461610916304,334.7200749948131
Iraq,15.542258643891893,2797.580293506464,2904.618225397563
Ethiopia,15.68640187750971,4422.65604389389,4494.8495186068785
Honduras,15.706359528771577,710.4194247169095,795.2716367660238
Equatorial Guinea,15.709807981459981,72.46150026187392,76.56977649316552
Lebanon,15.84594335120354,354.64471387043085,383.01354119629366
Cape Verde,15.899210163924572,62.85591280626685,67.27291571233317
Dominican Republic,15.907357095015604,874.3403630576386,917.942839716466
Libya,15.921603791631865,413.763598123926,442.18099549287683
Turkey,15.961693210549114,6752.374893717227,7077.971742907005
Lesotho,16.00825744084822,415.03920365755886,466.8132253607685
Solomon Islands,16.009582309721452,102.29281871795656,102.54120830160778
Jamaica,16.14841237979639,406.8529970684188,445.14729779320146
Kuwait,16.210746339309964,65.86522173565061,78.157276181247
Micronesia (country),16.28792647885494,19.590311998466785,19.651945230817166
Democratic Republic of Congo,16.30936853330186,6350.125567025523,6375.151041209556
Peru,16.315967486213363,1208.081817105359,1477.39509292905
Sudan,16.34199889988056,2576.455440615894,2610.2194784435997
Iran,16.460852596366973,4910.016956380672,5019.167147729402
Yemen,16.55987195711672,2329.0377597799497,2352.5957280850103
Malaysia,16.608023135974975,3395.837264865708,3758.09043061897
Belize,16.684956659547478,18.506885240336118,18.815395765977303
Benin,16.70458044152804,1130.1515197146562,1138.3710853718148
Albania,16.815914311811248,1101.9695282503278,1981.1961396871714
Uganda,16.83607578825116,1181.7636401664006,1275.8705371341355
Senegal,16.853974196310435,1243.9934875615102,1251.5971199891653
Colombia,16.971154802151247,2584.2064528206643,2634.2614527692836
Philippines,17.046153217457242,12426.650109561175,12814.684448614318
East Timor,17.046924787448663,180.46339415754838,189.16225084348508
Eswatini,17.052655078100535,134.89256864073477,150.53034373055067
Somalia,17.061924307982142,1377.4131818594353,1422.671314749933
Togo,17.063190987098434,870.101606519232,872.9304023567828
North Korea,17.06467579609862,9370.235875024237,9603.592839363188
Jordan,17.06700075998523,353.30321895479545,368.2728159426448
Syria,17.07197747032882,1514.001818250966,1537.8929731196852
Cote d'Ivoire,17.079658292621932,1944.0674617311868,2029.1280679461356
Guatemala,17.134113377554687,710.6087043614276,768.6675234823166
Mali,17.171960593005192,1183.3199169980153,1192.999567869233
Comoros,17.1935108082143,73.64284136695231,74.08627309512828
Kiribati,17.19669958925632,19.262210011692463,19.42561651391578
Burkina Faso,17.21166919108388,1299.6194812307228,1310.0648843853476
Panama,17.215190455706498,301.4540437077004,319.56234621707375
Liberia,17.228196540331542,423.9558434660019,437.88263743914183
United States,17.287871332696657,25846.819452122047,26045.55165171088
Bahrain,17.453500256463197,64.35638932010005,66.21895012113288
Sao Tome and Principe,17.48179776478199,19.092310448625174,19.575912692497084
Samoa,17.49630618715273,28.60735881748874,28.76096521535843
Chad,17.566823723160123,1146.4585664464635,1161.0863401624108
Tunisia,17.59216368309923,1352.9217542708634,1367.0731784439874
Gambia,17.609792722930006,210.40767322186505,213.0981372322942
Afghanistan,17.61367827250533,3302.012340039268,3357.2360613510164
Namibia,17.62609822262002,220.03657182892584,235.47396692906304
Chile,17.681994709855136,1748.2818509227739,1844.5530882478342
Turkmenistan,17.727486997435886,837.1460211820227,860.9040105863662
Eritrea,17.73902211936378,496.34461682072015,497.2782476532338
Rwanda,17.749703359322776,1086.963234855292,1100.9382438763496
Bahamas,17.770234244473976,36.86011409720018,37.3616137210892
Cook Islands,17.7867198283879,2.0491413500257196,2.1245626456380178
Mauritius,17.854808613885915,163.98620949821955,181.53071354374774
Guinea,17.864641144285414,1393.2157640867188,1404.946472162667
Nigeria,17.912812634589624,10654.185781363736,10829.90465343912
Vietnam,17.91847941051714,28781.251987635216,29257.20291380022
Haiti,17.956735865946367,1859.4594635619014,1870.3947662097953
El Salvador,18.008740472465888,344.3573790588154,366.3109106044594
Pakistan,18.056866183728975,19195.796131364626,19277.748337974754
Ghana,18.059811665658952,3806.1751216905263,3812.652370360264
South Africa,18.068307104156762,6781.7360495976545,7268.688345689476
Egypt,18.1290301838204,12155.479166501616,12557.364619153168
Central African Republic,18.168333249291546,507.0433772852469,529.396375606212
Vanuatu,18.18264351344406,48.277861925911715,48.440513406904195
Cuba,18.19659818506008,1794.4093814004918,1851.0783531196773
Bhutan,18.252076379717384,58.300212481849336,60.21865564312402
Cameroon,18.321073978652127,2488.4894550998897,2507.2429480644387
Guinea-Bissau,18.322869437665727,204.18685256758945,209.4891580006473
Laos,18.3343882941697,1115.8682271123287,1127.8297039410093
Bangladesh,18.421666858247086,20563.753553311082,21745.865896108146
Sierra Leone,18.465807371143264,955.7391947657428,964.1722742970937
Saint Lucia,18.519430176492374,24.139572110239204,24.89476228188943
Suriname,18.631040053127386,80.42994101286222,86.99852695516485
Fiji,18.8023843256201,126.84440530106525,127.74337134491384
Malawi,18.80394872345384,1701.7479281961957,1751.2185523113649
Paraguay,18.818671166319266,505.5807727214008,525.651170172297
China,18.841748436524075,439317.6693543882,440396.4194618553
Barbados,18.88585492745513,51.763413411300235,53.07476216380609
