Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,-0.09971315464455331,-0.09810716428943725,-0.09534397143540886,-0.08983102213932358,-0.08546119261962251,-0.08503905336308505,-0.0838758271425515,-0.08526068456957708,-0.08836371013146947,-0.08931971877333934,-0.0904152864918675,-0.08686916959177518,-0.08557365875416684,-0.08417493379108833,-0.08462503869021618,-0.08564637280824129,-0.08370116981290808,-0.08122708527414292,-0.08064328373120176,-0.07843705711676584,-0.0737404025686621,-0.08093878210178947
Albania,-0.16223142590908782,-0.17047941927178087,-0.16568912286337725,-0.1589849826733815,-0.15503528781682976,-0.1539578980363873,-0.15754502772567638,-0.1592699627666849,-0.15912956682916468,-0.15760546256674565,-0.15823492040109408,-0.15792892627404684,-0.15247594125017602,-0.153107471448325,-0.15294173898808194,-0.1503047505979863,-0.14580779161034244,-0.14202069788726143,-0.1377817666600618,-0.13269298091632123,-0.12799182721042737,-0.15135574484097647
Algeria,-0.10202817655193737,-0.10029132134045711,-0.10034268053630381,-0.09960907447092214,-0.09584833166062454,-0.09522194823654244,-0.09423944007960872,-0.09336051742151885,-0.09209833447365923,-0.08976459414165161,-0.08686079143114837,-0.08293362625680871,-0.0822225001861558,-0.0784821663294164,-0.07661090051657012,-0.07623192153815053,-0.07377666174760336,-0.0717708766845922,-0.06755358778403475,-0.06415996257412485,-0.05649864090336506,-0.05127307552835042
Andorra,-0.2003683693787181,-0.19642162784719638,-0.19470299951093328,-0.1911325561428972,-0.18541544163576437,-0.18538618698925632,-0.19036250510316993,-0.1919102683246951,-0.1907000925198993,-0.18796689383279455,-0.18713449307735552,-0.18650254975993122,-0.18794583299947482,-0.18814004812113616,-0.18913631985753498,-0.1906660005654618,-0.1893006767949976,-0.18945631406585423,-0.18912023605514916,-0.188159961256954,-0.18840686511159652,-0.18618773888296536
Angola,-0.13882085817875817,-0.1387927307446919,-0.13755153534001008,-0.13282721853174517,-0.1279774924764135,-0.1296872694724171,-0.1294774074604399,-0.1319277040456215,-0.1319674028214175,-0.13039786198495262,-0.13117614892830795,-0.12889235560900766,-0.12949454727392665,-0.12790662656141288,-0.1309832189480712,-0.1296895453311551,-0.12810343892955875,-0.12747401153670473,-0.12193902495188408,-0.1176158371811113,-0.11269491323825297,-0.10927501374460676
Antigua and Barbuda,-0.20018713143097683,-0.1963305716724947,-0.19459439028843567,-0.19100988216338108,-0.1853259755189335,-0.18528006492046614,-0.19028333675179457,-0.19181058034630033,-0.190641894337729,-0.18790164623203162,-0.18703722530831035,-0.18637037842716117,-0.187785018074211,-0.18793741618677365,-0.18889532723479296,-0.1904086920400146,-0.18909435359549195,-0.1892589247757685,-0.18895033893852994,-0.1879888021795077,-0.18817695587645467,-0.18612514238236685
Argentina,-0.019283336848874476,-0.020528229887251972,-0.022652566744739706,-0.020510558121670738,-0.02939981629517165,-0.042285575307804094,-0.04444218110909099,-0.044119086671324276,-0.05043602710695762,-0.055626825244465654,-0.05178523587826113,-0.05666217022707891,-0.05841101826416085,-0.056259322605662916,-0.05179203171329036,-0.04880084409073109,-0.04545113481689784,-0.058818488446266366,-0.06556288682695091,-0.06794259429730463,-0.07880370563194326,-0.07383916589833688
Armenia,-0.17707612315267426,-0.17426374300918232,-0.17169996252330938,-0.1690725162882885,-0.16508603659906104,-0.16488515843945287,-0.16962905798726793,-0.1705055363612441,-0.16968301793574356,-0.1689215557272752,-0.1696402313509752,-0.169245097538413,-0.17124680180697735,-0.1730668336393001,-0.1736170575954701,-0.17658993507946238,-0.17531947887698818,-0.17573418574806227,-0.1786222384137261,-0.17690331154476682,-0.176433459259872,-0.17347483598778365
Australia,-0.11630614342205452,-0.11705591454012754,-0.11650141874514723,-0.11835801109645086,-0.11544281555449251,-0.11555600597384084,-0.11760935187698415,-0.1207363131476595,-0.11812274209394648,-0.12110881001991562,-0.12155178654161572,-0.1195387143356937,-0.1229753171411493,-0.12493760793075044,-0.12487231797810162,-0.12602889654281732,-0.12829380405384208,-0.1305669833680904,-0.13181174639862692,-0.1324350339288802,-0.13529237290695975,-0.1323336233469142
Austria,-0.1387912950306285,-0.14218986721597457,-0.14229371188653026,-0.14548348935102914,-0.1514746650951884,-0.15176449551819995,-0.15461354199982494,-0.15696470903420062,-0.15704895169329344,-0.1554124116528562,-0.15535540120261934,-0.1558961404430954,-0.15517285022038532,-0.15598637311335992,-0.15841824693233836,-0.158446822482525,-0.1612548123031173,-0.16101255085815924,-0.16218655576854732,-0.16089706456518266,-0.16154511382013392,-0.16037981415611263
